geoid,county,lat,lon,source_boundary,source_boundary_url,population,age65,poverty,uninsured,acs_release,source_acs,source_acs_url,source_acs_retrieval_url,hospitals,nearest,rate,density_class,source_density_class,source_hospital_count,source_hospital_count_url,source_nearest,source_nearest_url,source_rate,source_rate_url,retrieved_at
42109,Snyder,40.769832,-77.070171,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,39668,20.57,9.44,12.2,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42109,0,17.4,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42111,Somerset,39.972499,-79.028341,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,72134,24.96,11.54,7.72,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42111,1,3.6,1.39,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42113,Sullivan,41.446159,-76.512141,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,5888,31.45,11.58,4.06,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42113,0,30.4,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42115,Susquehanna,41.821326,-75.800686,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,38219,25.18,11.41,6.19,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42115,0,26.8,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42117,Tioga,41.772182,-77.254255,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,40945,23.48,11.72,5.99,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42117,0,58.0,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42119,Union,40.962967,-77.062276,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,42456,19.88,8.96,10.38,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42119,1,9.3,2.36,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42121,Venango,41.400966,-79.757954,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,49801,24.79,13.15,4.43,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42121,1,4.0,2.01,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42123,Warren,41.814601,-79.274091,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,37920,24.75,10.81,4.08,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42123,1,6.4,2.64,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42125,Washington,40.189426,-80.248318,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,210434,23.09,10.24,4.36,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42125,4,0.5,1.9,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42127,Wayne,41.648787,-75.303237,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,51262,25.57,12.12,6.84,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42127,1,5.5,1.95,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42129,Westmoreland,40.310929,-79.46678,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,350935,25.63,10.61,3.08,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42129,3,4.7,0.85,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42131,Wyoming,41.518391,-76.016361,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,25967,22.93,11.52,3.9,ACS 2024 5-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 5-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs5,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42131,0,19.6,0.0,Rural,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
42133,York,39.91996,-76.72651,"U.S. Census Bureau, TIGERweb State/County boundaries",https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query,471240,19.56,9.43,5.18,ACS 2024 1-year,"U.S. Census Bureau, American Community Survey 2024 ACS 2024 1-year (via Census Reporter mirror)",https://api.census.gov/data/2024/acs/acs1,https://api.censusreporter.org/1.0/data/show/latest?table_ids=B01001%2CB17001%2CB27010&geo_ids=05000US42133,4,0.5,0.85,County market,Derived from ACS population threshold; not an official rurality designation,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,Derived: county boundary centroid + geocoded CMS hospital addresses,https://tigerweb.geo.census.gov/arcgis/rest/services/TIGERweb/State_County/MapServer/1/query | https://geocoding.geo.census.gov/geocoder/locations/address,"Derived: CMS hospital count / ACS population * 100,000",https://data.cms.gov/provider-data/dataset/xubh-q36u | https://api.census.gov/data/2024/acs/acs5,2026-08-22
