facility_id,facility_name,county,hospital_type,emergency_services,hospital_ownership,address,city,zip,lat,lon,source_cms,source_cms_url,source_geocoder,source_geocoder_url,retrieved_at
390039,UPMC SOMERSET,Somerset,Acute Care Hospitals,Yes,Voluntary non-profit - Private,225 SOUTH CENTER AVENUE,SOMERSET,15501,40.00726,-79.078548,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390042,"WASHINGTON HOSPITAL, THE",Washington,Acute Care Hospitals,Yes,Voluntary non-profit - Private,155 WILSON AVENUE,WASHINGTON,15301,40.182768,-80.246194,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390044,READING HOSPITAL,Berks,Acute Care Hospitals,Yes,Voluntary non-profit - Private,420 S 5TH AVENUE,WEST READING,19611,40.330456,-75.948257,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390046,WELLSPAN YORK HOSPITAL,York,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1001 SOUTH GEORGE STREET,YORK,17403,39.946642,-76.720372,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390049,ST LUKES HOSPITAL,Northampton,Acute Care Hospitals,Yes,Voluntary non-profit - Private,801 OSTRUM STREET,BETHLEHEM,18015,40.609212,-75.392133,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390050,ALLEGHENY GENERAL HOSPITAL,Allegheny,Acute Care Hospitals,Yes,Voluntary non-profit - Private,320 EAST NORTH AVENUE,PITTSBURGH,15212,40.456122,-80.003423,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390056,PENN HIGHLANDS HUNTINGDON,Huntingdon,Acute Care Hospitals,Yes,Voluntary non-profit - Private,1225 WARM SPRINGS AVE,HUNTINGDON,16652,40.494673,-78.013313,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390057,ST LUKE'S HOSPITAL - GRAND VIEW CAMPUS,Bucks,Acute Care Hospitals,Yes,Voluntary non-profit - Other,700 LAWN AVENUE,SELLERSVILLE,18960,40.362563,-75.32429,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390058,UPMC CARLISLE,Cumberland,Acute Care Hospitals,Yes,Voluntary non-profit - Private,361 ALEXANDER SPRING ROAD,CARLISLE,17015,40.184621,-77.225088,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390062,CONEMAUGH NASON MEDICAL CENTER,Blair,Acute Care Hospitals,Yes,Voluntary non-profit - Other,105 NASON DRIVE,ROARING SPRING,16673,40.337874,-78.388042,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
390063,UPMC HAMOT,Erie,Acute Care Hospitals,Yes,Voluntary non-profit - Private,201 STATE STREET,ERIE,16550,42.133312,-80.087721,"U.S. Centers for Medicare & Medicaid Services, Hospital General Information",https://data.cms.gov/provider-data/dataset/xubh-q36u,"U.S. Census Bureau, Census Geocoder",https://geocoding.geo.census.gov/geocoder/locations/address,2026-08-22
